Anc	Der	PanelFreq	Num
0	11	0.84	1
0	11	0.87	1
0	12	0.84	1
0	12	0.9	1
0	12	0.91	1
0	12	0.94	1
0	13	0.35	1
0	13	0.68	1
0	13	0.72	1
0	13	0.99	1
0	14	0.65	1
0	14	0.93	1
0	14	0.94	1
0	14	0.98	1
0	14	0.99	1
0	15	0.67	1
0	15	0.75	2
0	15	0.78	1
0	15	0.79	1
0	15	0.8	1
0	15	0.83	1
0	15	0.86	1
0	15	0.9	1
0	15	0.92	1
0	15	0.95	2
0	15	0.97	2
0	15	0.99	2
0	16	0.41	1
0	16	0.46	2
0	16	0.65	1
0	16	0.71	1
0	16	0.75	2
0	16	0.77	1
0	16	0.78	1
0	16	0.84	2
0	16	0.85	1
0	16	0.86	1
0	16	0.87	1
0	16	0.88	1
0	16	0.9	2
0	16	0.92	2
0	16	0.93	1
0	16	0.94	1
0	16	0.95	1
0	16	0.96	1
0	16	0.98	2
0	17	0.31	1
0	17	0.33	1
0	17	0.45	1
0	17	0.61	1
0	17	0.62	1
0	17	0.63	1
0	17	0.64	1
0	17	0.65	1
0	17	0.72	1
0	17	0.76	2
0	17	0.77	1
0	17	0.8	1
0	17	0.81	1
0	17	0.84	1
0	17	0.85	1
0	17	0.86	1
0	17	0.87	5
0	17	0.88	1
0	17	0.89	1
0	17	0.91	1
0	17	0.93	3
0	17	0.94	1
0	17	0.97	2
0	17	0.98	4
0	17	0.99	4
0	18	0.2	1
0	18	0.34	1
0	18	0.36	1
0	18	0.44	1
0	18	0.48	1
0	18	0.5	1
0	18	0.52	1
0	18	0.58	1
0	18	0.64	1
0	18	0.66	2
0	18	0.68	2
0	18	0.71	2
0	18	0.72	1
0	18	0.73	1
0	18	0.74	1
0	18	0.76	3
0	18	0.78	2
0	18	0.79	1
0	18	0.81	2
0	18	0.82	4
0	18	0.83	4
0	18	0.84	2
0	18	0.85	1
0	18	0.86	2
0	18	0.87	1
0	18	0.89	6
0	18	0.9	3
0	18	0.91	1
0	18	0.92	5
0	18	0.93	2
0	18	0.94	6
0	18	0.95	3
0	18	0.96	3
0	18	0.97	2
0	18	0.98	3
0	18	0.99	6
0	19	0.38	1
0	19	0.53	1
0	19	0.57	1
0	19	0.6	2
0	19	0.61	1
0	19	0.62	1
0	19	0.63	2
0	19	0.66	1
0	19	0.67	3
0	19	0.68	2
0	19	0.69	1
0	19	0.72	3
0	19	0.73	4
0	19	0.76	3
0	19	0.78	6
0	19	0.79	3
0	19	0.82	1
0	19	0.83	6
0	19	0.84	2
0	19	0.85	4
0	19	0.86	2
0	19	0.87	4
0	19	0.88	2
0	19	0.89	6
0	19	0.9	4
0	19	0.91	8
0	19	0.92	3
0	19	0.93	4
0	19	0.94	5
0	19	0.95	8
0	19	0.96	3
0	19	0.97	7
0	19	0.98	10
0	19	0.99	5
0	20	0.06	1
0	20	0.39	1
0	20	0.4	1
0	20	0.45	1
0	20	0.47	1
0	20	0.5	1
0	20	0.53	1
0	20	0.55	2
0	20	0.57	1
0	20	0.58	1
0	20	0.59	1
0	20	0.6	1
0	20	0.61	1
0	20	0.63	1
0	20	0.65	1
0	20	0.68	2
0	20	0.71	2
0	20	0.72	4
0	20	0.73	2
0	20	0.74	3
0	20	0.75	2
0	20	0.76	2
0	20	0.77	1
0	20	0.79	9
0	20	0.8	1
0	20	0.81	4
0	20	0.82	5
0	20	0.83	4
0	20	0.84	7
0	20	0.85	5
0	20	0.86	6
0	20	0.87	4
0	20	0.88	4
0	20	0.89	4
0	20	0.9	3
0	20	0.91	4
0	20	0.92	8
0	20	0.93	7
0	20	0.94	7
0	20	0.95	10
0	20	0.96	9
0	20	0.97	7
0	20	0.98	4
0	20	0.99	11
0	21	0.2	1
0	21	0.37	1
0	21	0.5	1
0	21	0.51	1
0	21	0.53	1
0	21	0.57	2
0	21	0.59	1
0	21	0.61	1
0	21	0.62	1
0	21	0.63	1
0	21	0.64	1
0	21	0.65	2
0	21	0.66	1
0	21	0.68	3
0	21	0.69	2
0	21	0.71	4
0	21	0.72	4
0	21	0.74	2
0	21	0.75	1
0	21	0.76	7
0	21	0.77	4
0	21	0.78	4
0	21	0.79	3
0	21	0.8	3
0	21	0.81	6
0	21	0.82	4
0	21	0.83	10
0	21	0.84	11
0	21	0.85	7
0	21	0.86	8
0	21	0.87	8
0	21	0.88	7
0	21	0.89	11
0	21	0.9	11
0	21	0.91	11
0	21	0.92	8
0	21	0.93	16
0	21	0.94	9
0	21	0.95	14
0	21	0.96	10
0	21	0.97	13
0	21	0.98	16
0	21	0.99	11
0	22	0.13	1
0	22	0.26	1
0	22	0.34	1
0	22	0.39	1
0	22	0.4	1
0	22	0.41	1
0	22	0.43	1
0	22	0.44	2
0	22	0.46	1
0	22	0.51	1
0	22	0.53	1
0	22	0.54	2
0	22	0.55	2
0	22	0.57	1
0	22	0.58	2
0	22	0.59	2
0	22	0.61	3
0	22	0.62	3
0	22	0.63	1
0	22	0.64	1
0	22	0.65	2
0	22	0.66	2
0	22	0.67	2
0	22	0.69	3
0	22	0.7	2
0	22	0.71	2
0	22	0.72	5
0	22	0.73	6
0	22	0.74	3
0	22	0.75	6
0	22	0.76	5
0	22	0.77	4
0	22	0.78	7
0	22	0.79	3
