Anc	Der	PanelFreq	Num
0	1	0.01	136
0	1	0.02	119
0	1	0.03	127
0	1	0.04	121
0	1	0.05	120
0	1	0.06	111
0	1	0.07	110
0	1	0.08	104
0	1	0.09	120
0	1	0.1	117
0	1	0.11	131
0	1	0.12	115
0	1	0.13	118
0	1	0.14	111
0	1	0.15	109
0	1	0.16	112
0	1	0.17	133
0	1	0.18	105
0	1	0.19	103
0	1	0.2	103
0	1	0.21	131
0	1	0.22	117
0	1	0.23	104
0	1	0.24	142
0	1	0.25	132
0	1	0.26	121
0	1	0.27	125
0	1	0.28	116
0	1	0.29	86
0	1	0.3	104
0	1	0.31	122
0	1	0.32	118
0	1	0.33	114
0	1	0.34	119
0	1	0.35	127
0	1	0.36	126
0	1	0.37	119
0	1	0.38	136
0	1	0.39	118
0	1	0.4	108
0	1	0.41	94
0	1	0.42	106
0	1	0.43	133
0	1	0.44	104
0	1	0.45	110
0	1	0.46	98
0	1	0.47	125
0	1	0.48	101
0	1	0.49	121
0	1	0.5	141
0	1	0.51	92
0	1	0.52	104
0	1	0.53	109
0	1	0.54	120
0	1	0.55	102
0	1	0.56	97
0	1	0.57	131
0	1	0.58	139
0	1	0.59	108
0	1	0.6	100
0	1	0.61	117
0	1	0.62	113
0	1	0.63	102
0	1	0.64	78
0	1	0.65	125
0	1	0.66	110
0	1	0.67	115
0	1	0.68	158
0	1	0.69	121
0	1	0.7	114
0	1	0.71	117
0	1	0.72	118
0	1	0.73	104
0	1	0.74	124
0	1	0.75	151
0	1	0.76	131
0	1	0.77	118
0	1	0.78	107
0	1	0.79	129
0	1	0.8	124
0	1	0.81	110
0	1	0.82	104
0	1	0.83	122
0	1	0.84	112
0	1	0.85	99
0	1	0.86	122
0	1	0.87	109
0	1	0.88	104
0	1	0.89	109
0	1	0.9	109
0	1	0.91	115
0	1	0.92	101
0	1	0.93	124
0	1	0.94	98
0	1	0.95	128
0	1	0.96	128
0	1	0.97	128
0	1	0.98	118
0	1	0.99	97
0	10	0.06	1
0	10	0.14	1
0	10	0.16	1
0	10	0.21	1
0	10	0.27	1
0	10	0.29	1
0	10	0.31	1
0	10	0.4	1
0	10	0.42	1
0	10	0.43	1
0	10	0.5	2
0	10	0.55	1
0	10	0.64	1
0	10	0.66	1
0	10	0.67	1
0	10	0.72	1
0	10	0.75	1
0	10	0.78	1
0	10	0.8	1
0	10	0.83	3
0	10	0.88	1
0	10	0.9	1
0	10	0.91	1
0	10	0.92	2
0	10	0.93	1
0	10	0.94	1
0	10	0.95	1
0	11	0.33	2
0	11	0.35	1
0	11	0.53	1
0	11	0.58	1
0	11	0.61	1
0	11	0.7	1
0	11	0.72	1
0	11	0.76	1
0	11	0.89	1
0	11	0.97	1
0	2	0.01	86
0	2	0.02	133
0	2	0.03	110
0	2	0.04	131
0	2	0.05	108
0	2	0.06	110
0	2	0.07	91
0	2	0.08	103
0	2	0.09	109
0	2	0.1	120
0	2	0.11	134
0	2	0.12	109
0	2	0.13	128
0	2	0.14	108
0	2	0.15	130
0	2	0.16	107
0	2	0.17	135
0	2	0.18	102
0	2	0.19	120
0	2	0.2	95
0	2	0.21	117
0	2	0.22	107
0	2	0.23	105
0	2	0.24	146
0	2	0.25	150
0	2	0.26	117
0	2	0.27	145
0	2	0.28	110
0	2	0.29	147
0	2	0.3	95
0	2	0.31	145
0	2	0.32	110
0	2	0.33	127
0	2	0.34	125
0	2	0.35	137
0	2	0.36	127
0	2	0.37	117
0	2	0.38	132
0	2	0.39	150
0	2	0.4	124
0	2	0.41	118
0	2	0.42	117
0	2	0.43	151
0	2	0.44	108
0	2	0.45	150
0	2	0.46	97
0	2	0.47	148
0	2	0.48	118
0	2	0.49	138
0	2	0.5	152
0	2	0.51	134
0	2	0.52	118
0	2	0.53	124
0	2	0.54	116
0	2	0.55	126
0	2	0.56	102
0	2	0.57	149
0	2	0.58	144
0	2	0.59	141
0	2	0.6	110
0	2	0.61	125
0	2	0.62	136
0	2	0.63	138
0	2	0.64	107
0	2	0.65	151
0	2	0.66	116
0	2	0.67	131
0	2	0.68	210
0	2	0.69	131
0	2	0.7	125
0	2	0.71	113
0	2	0.72	156
0	2	0.73	111
0	2	0.74	149
0	2	0.75	197
0	2	0.76	124
0	2	0.77	161
0	2	0.78	154
0	2	0.79	184
0	2	0.8	152
0	2	0.81	182
0	2	0.82	159
0	2	0.83	161
0	2	0.84	169
0	2	0.85	139
0	2	0.86	145
0	2	0.87	110
0	2	0.88	132
0	2	0.89	129
0	2	0.9	165
0	2	0.91	154
0	2	0.92	128
0	2	0.93	119
0	2	0.94	139
0	2	0.95	156
0	2	0.96	191
0	2	0.97	144
0	2	0.98	195
0	2	0.99	124
0	3	0.01	84
0	3	0.02	75
0	3	0.03	88
0	3	0.04	85
0	3	0.05	85
0	3	0.06	83
0	3	0.07	82
0	3	0.08	70
0	3	0.09	87
0	3	0.1	75
0	3	0.11	91
0	3	0.12	94
0	3	0.13	109
0	3	0.14	96
0	3	0.15	89
0	3	0.16	72
0	3	0.17	100
0	3	0.18	68
0	3	0.19	84
0	3	0.2	68
0	3	0.21	84
0	3	0.22	94
0	3	0.23	76
0	3	0.24	114
0	3	0.25	107
0	3	0.26	96
0	3	0.27	122
0	3	0.28	100
0	3	0.29	81
0	3	0.3	81
0	3	0.31	101
0	3	0.32	112
0	3	0.33	111
0	3	0.34	97
0	3	0.35	90
0	3	0.36	115
0	3	0.37	103
0	3	0.38	117
0	3	0.39	83
0	3	0.4	85
0	3	0.41	97
0	3	0.42	89
0	3	0.43	117
0	3	0.44	87
0	3	0.45	135
0	3	0.46	88
0	3	0.47	123
0	3	0.48	112
0	3	0.49	106
0	3	0.5	130
0	3	0.51	125
0	3	0.52	103
0	3	0.53	97
0	3	0.54	145
0	3	0.55	95
0	3	0.56	109
0	3	0.57	125
0	3	0.58	133
0	3	0.59	126
0	3	0.6	121
0	3	0.61	99
0	3	0.62	126
0	3	0.63	108
0	3	0.64	114
0	3	0.65	152
0	3	0.66	117
0	3	0.67	98
0	3	0.68	170
0	3	0.69	162
0	3	0.7	110
0	3	0.71	119
0	3	0.72	137
0	3	0.73	107
0	3	0.74	123
0	3	0.75	201
0	3	0.76	117
0	3	0.77	118
0	3	0.78	122
0	3	0.79	138
0	3	0.8	119
0	3	0.81	142
0	3	0.82	153
0	3	0.83	129
0	3	0.84	155
0	3	0.85	112
0	3	0.86	150
0	3	0.87	126
0	3	0.88	130
0	3	0.89	131
0	3	0.9	168
0	3	0.91	134
0	3	0.92	140
0	3	0.93	153
0	3	0.94	141
0	3	0.95	151
0	3	0.96	187
0	3	0.97	160
0	3	0.98	181
0	3	0.99	131
0	4	0.01	33
0	4	0.02	66
0	4	0.03	49
0	4	0.04	63
0	4	0.05	43
0	4	0.06	44
0	4	0.07	48
0	4	0.08	33
0	4	0.09	65
0	4	0.1	47
0	4	0.11	78
0	4	0.12	48
0	4	0.13	67
0	4	0.14	44
0	4	0.15	44
0	4	0.16	45
0	4	0.17	49
0	4	0.18	55
0	4	0.19	54
0	4	0.2	52
0	4	0.21	42
0	4	0.22	53
0	4	0.23	58
0	4	0.24	55
0	4	0.25	66
0	4	0.26	67
0	4	0.27	74
0	4	0.28	64
0	4	0.29	84
0	4	0.3	57
0	4	0.31	78
0	4	0.32	60
0	4	0.33	88
0	4	0.34	69
