Anc	Der	PanelFreqA	PanelFreqB	Num
0	10	0.5	0.15	1
0	11	0.85	0.8	1
0	12	0.5	0.0	1
0	12	0.65	0.55	1
0	12	0.85	0.8	1
0	12	0.85	1.0	1
0	12	0.95	0.25	1
0	13	0.1	0.0	1
0	13	0.3	0.65	1
0	13	0.6	0.55	1
0	13	0.65	0.55	1
0	13	0.85	0.3	1
0	13	0.95	0.7	1
0	14	0.15	0.0	1
0	14	0.65	0.65	1
0	14	0.7	0.65	1
0	14	0.75	0.45	1
0	14	0.8	0.85	3
0	14	0.8	1.0	1
0	14	0.85	0.8	1
0	14	0.9	0.8	1
0	14	1.0	0.45	1
0	14	1.0	0.85	1
0	14	1.0	0.9	1
0	15	0.05	0.05	1
0	15	0.1	0.0	1
0	15	0.15	0.0	1
0	15	0.25	0.0	1
0	15	0.4	0.6	1
0	15	0.4	0.65	1
0	15	0.55	0.2	1
0	15	0.55	0.85	1
0	15	0.6	0.6	1
0	15	0.65	0.35	1
0	15	0.65	0.6	1
0	15	0.7	0.65	1
0	15	0.75	0.45	1
0	15	0.8	0.2	1
0	15	0.8	0.75	2
0	15	0.8	0.8	1
0	15	0.8	0.95	1
0	15	0.9	0.4	1
0	15	0.9	0.85	1
0	15	0.9	1.0	1
0	15	0.95	0.7	1
0	15	0.95	0.95	1
0	15	0.95	1.0	1
0	15	1.0	0.8	1
0	15	1.0	0.85	1
0	16	0.0	0.15	1
0	16	0.05	0.0	2
0	16	0.15	0.1	1
0	16	0.25	0.0	2
0	16	0.3	0.0	2
0	16	0.35	0.5	1
0	16	0.35	0.75	1
0	16	0.4	0.1	1
0	16	0.45	0.3	1
0	16	0.45	0.45	1
0	16	0.45	0.5	1
0	16	0.45	0.55	1
0	16	0.5	0.3	1
0	16	0.5	0.65	1
0	16	0.55	0.2	1
0	16	0.55	0.6	1
0	16	0.55	0.7	1
0	16	0.55	0.8	1
0	16	0.6	0.3	1
0	16	0.6	0.55	1
0	16	0.65	0.35	2
0	16	0.65	0.7	1
0	16	0.65	1.0	1
0	16	0.7	0.6	1
0	16	0.7	0.75	1
0	16	0.7	0.8	1
0	16	0.7	0.9	1
0	16	0.7	0.95	1
0	16	0.7	1.0	1
0	16	0.8	0.55	1
0	16	0.8	0.85	1
0	16	0.85	0.65	2
0	16	0.9	0.2	1
0	16	0.9	0.45	1
0	16	0.9	0.8	1
0	16	0.9	0.85	1
0	16	0.9	0.95	1
0	16	0.9	1.0	2
0	16	0.95	0.6	1
0	16	0.95	0.85	1
0	16	0.95	0.95	1
0	16	0.95	1.0	5
0	16	1.0	0.45	1
0	16	1.0	0.5	1
0	16	1.0	0.65	1
0	16	1.0	0.7	1
0	16	1.0	0.75	1
0	16	1.0	0.8	1
0	16	1.0	0.85	1
0	16	1.0	0.9	1
0	16	1.0	0.95	3
0	17	0.0	0.2	1
0	17	0.05	0.05	1
0	17	0.1	0.0	1
0	17	0.15	0.0	2
0	17	0.2	0.0	1
0	17	0.2	0.1	2
0	17	0.2	0.5	1
0	17	0.25	0.0	1
0	17	0.25	0.3	1
0	17	0.3	0.0	1
0	17	0.3	0.25	1
0	17	0.35	0.0	3
0	17	0.35	0.1	1
0	17	0.4	0.0	1
0	17	0.45	0.0	2
0	17	0.45	0.7	1
0	17	0.5	0.0	1
0	17	0.55	0.1	1
0	17	0.55	0.25	1
0	17	0.55	0.95	1
0	17	0.6	0.6	1
0	17	0.6	0.65	2
0	17	0.65	0.15	2
0	17	0.65	0.6	1
0	17	0.65	0.9	1
0	17	0.65	0.95	1
0	17	0.7	0.5	1
0	17	0.7	0.6	1
0	17	0.7	0.75	1
