Anc	Der	PanelFreqA	PanelFreqB	Num
0	12	0.75	0.8	1
0	13	0.6	0.95	1
0	13	0.8	0.8	1
0	13	0.95	0.95	1
0	13	1.0	0.9	1
0	13	1.0	0.95	2
0	14	0.5	0.2	1
0	14	0.65	0.5	1
0	14	0.9	1.0	1
0	14	0.95	0.85	1
0	15	0.4	0.5	1
0	15	0.45	0.35	1
0	15	0.6	0.6	1
0	15	0.65	0.8	1
0	15	0.8	0.9	1
0	15	0.85	0.85	1
0	15	0.9	0.9	1
0	15	0.95	0.95	2
0	15	1.0	0.3	1
0	16	0.45	0.1	1
0	16	0.45	0.65	1
0	16	0.55	0.9	1
0	16	0.65	1.0	1
0	16	0.7	0.95	1
0	16	0.7	1.0	1
0	16	0.75	0.25	1
0	16	0.8	1.0	1
0	16	0.85	1.0	1
0	16	0.9	0.35	1
0	16	0.9	0.4	1
0	16	0.9	0.45	1
0	16	0.9	0.6	1
0	16	0.9	0.8	1
0	16	0.95	0.8	1
0	16	0.95	0.95	1
0	16	0.95	1.0	5
0	16	1.0	0.75	1
0	16	1.0	0.85	1
0	16	1.0	0.95	1
0	17	0.1	0.3	1
0	17	0.3	0.25	1
0	17	0.55	0.65	1
0	17	0.6	0.3	1
0	17	0.65	0.55	1
0	17	0.7	0.5	1
0	17	0.7	0.6	1
0	17	0.75	0.25	1
0	17	0.75	0.75	1
0	17	0.75	1.0	1
0	17	0.8	0.35	1
0	17	0.85	0.75	1
0	17	0.85	0.8	2
0	17	0.9	0.45	1
0	17	0.9	1.0	2
0	17	0.95	0.55	1
0	17	0.95	0.8	1
0	17	0.95	0.85	2
0	17	0.95	1.0	4
0	17	1.0	0.25	1
0	17	1.0	0.7	1
0	17	1.0	0.75	1
0	17	1.0	0.8	2
0	17	1.0	0.85	1
0	17	1.0	0.9	2
0	17	1.0	0.95	1
0	18	0.2	0.15	1
0	18	0.3	0.5	1
0	18	0.4	0.65	1
0	18	0.55	0.05	1
0	18	0.55	0.45	1
0	18	0.55	0.7	1
0	18	0.6	0.45	1
0	18	0.65	0.4	1
0	18	0.65	0.95	1
0	18	0.7	0.6	1
0	18	0.75	0.7	4
0	18	0.75	0.8	1
0	18	0.75	1.0	3
0	18	0.8	0.3	1
0	18	0.8	0.95	2
0	18	0.8	1.0	1
0	18	0.85	0.25	1
0	18	0.85	0.7	1
0	18	0.85	0.8	1
0	18	0.85	0.9	1
0	18	0.85	1.0	1
0	18	0.9	0.2	1
0	18	0.9	0.35	1
0	18	0.9	0.6	1
0	18	0.9	0.8	1
0	18	0.9	0.95	1
0	18	0.9	1.0	2
0	18	0.95	0.3	1
0	18	0.95	0.5	1
0	18	0.95	0.7	1
0	18	0.95	0.75	1
0	18	0.95	0.95	2
0	18	0.95	1.0	1
0	18	1.0	0.5	1
0	18	1.0	0.55	1
0	18	1.0	0.6	2
0	18	1.0	0.75	1
0	18	1.0	0.8	3
0	18	1.0	0.85	5
0	18	1.0	0.9	2
0	18	1.0	0.95	2
0	19	0.05	0.0	1
0	19	0.3	0.45	1
0	19	0.4	0.2	1
0	19	0.45	0.6	1
