Anc	Der	PanelFreq	Num
0	10	0.2	1
0	10	0.37	1
0	11	0.62	1
0	11	0.65	1
0	11	0.84	1
0	11	0.87	1
0	12	0.05	1
0	12	0.3	1
0	12	0.78	1
0	12	0.89	1
0	13	0.22	1
0	13	0.48	1
0	13	0.75	1
0	13	0.87	1
0	13	0.92	1
0	13	0.93	1
0	13	0.97	1
0	14	0.08	1
0	14	0.17	1
0	14	0.26	1
0	14	0.27	1
0	14	0.29	1
0	14	0.41	1
0	14	0.48	1
0	14	0.69	1
0	14	0.72	2
0	14	0.75	1
0	14	0.76	1
0	14	0.77	1
0	14	0.78	1
0	14	0.81	1
0	14	0.85	1
0	14	0.9	1
0	14	0.91	1
0	14	0.98	2
0	15	0.02	1
0	15	0.07	1
0	15	0.11	1
0	15	0.12	1
0	15	0.24	1
0	15	0.37	2
0	15	0.39	1
0	15	0.43	1
0	15	0.44	1
0	15	0.48	1
0	15	0.49	1
0	15	0.5	1
0	15	0.61	1
0	15	0.63	1
0	15	0.67	1
0	15	0.72	1
0	15	0.82	2
0	15	0.84	1
0	15	0.89	1
0	15	0.9	1
0	15	0.93	1
0	15	0.96	1
0	16	0.02	1
0	16	0.03	1
0	16	0.04	1
0	16	0.06	3
0	16	0.13	3
0	16	0.14	1
0	16	0.2	1
0	16	0.22	1
0	16	0.27	2
0	16	0.33	1
0	16	0.35	1
0	16	0.36	1
0	16	0.37	2
0	16	0.41	1
0	16	0.43	1
0	16	0.44	2
0	16	0.47	1
0	16	0.5	3
0	16	0.58	1
0	16	0.59	1
0	16	0.6	2
0	16	0.63	1
0	16	0.68	1
0	16	0.7	3
0	16	0.72	1
0	16	0.73	1
0	16	0.76	2
0	16	0.79	1
0	16	0.85	1
0	16	0.86	2
0	16	0.89	1
0	16	0.9	1
0	16	0.92	1
0	16	0.93	2
0	16	0.94	1
0	16	0.95	2
0	16	0.96	1
0	16	0.97	1
0	16	0.99	1
0	17	0.04	1
0	17	0.05	1
0	17	0.08	1
0	17	0.09	1
0	17	0.14	1
0	17	0.15	1
0	17	0.2	2
0	17	0.21	2
0	17	0.29	1
0	17	0.31	1
0	17	0.33	1
0	17	0.37	1
0	17	0.39	1
0	17	0.4	1
0	17	0.41	1
0	17	0.42	2
0	17	0.44	1
0	17	0.46	2
0	17	0.5	1
0	17	0.51	1
0	17	0.52	2
0	17	0.53	1
0	17	0.54	1
0	17	0.55	3
0	17	0.56	3
0	17	0.58	2
0	17	0.6	1
0	17	0.61	1
0	17	0.63	2
0	17	0.65	2
0	17	0.66	1
0	17	0.7	1
0	17	0.71	1
0	17	0.72	3
0	17	0.74	4
0	17	0.75	1
0	17	0.76	2
0	17	0.77	1
0	17	0.78	1
0	17	0.79	1
0	17	0.8	1
0	17	0.81	1
0	17	0.83	1
0	17	0.85	1
0	17	0.86	4
0	17	0.88	2
0	17	0.89	1
0	17	0.9	5
0	17	0.91	2
0	17	0.93	1
0	17	0.94	3
0	17	0.95	3
0	17	0.96	1
0	17	0.97	3
0	18	0.01	2
0	18	0.02	1
0	18	0.03	1
0	18	0.04	2
0	18	0.05	1
0	18	0.1	1
0	18	0.12	1
0	18	0.14	3
0	18	0.15	1
0	18	0.19	2
0	18	0.21	1
0	18	0.23	1
0	18	0.24	1
0	18	0.27	1
0	18	0.3	2
0	18	0.31	1
0	18	0.33	3
0	18	0.34	4
0	18	0.35	2
0	18	0.37	3
0	18	0.38	1
0	18	0.4	3
0	18	0.41	3
0	18	0.43	1
0	18	0.45	2
0	18	0.46	2
0	18	0.48	1
0	18	0.5	1
0	18	0.51	1
0	18	0.52	2
0	18	0.53	2
0	18	0.54	3
0	18	0.55	2
0	18	0.56	1
0	18	0.57	1
0	18	0.58	2
0	18	0.6	1
0	18	0.61	2
0	18	0.62	1
0	18	0.63	2
0	18	0.64	6
0	18	0.65	4
0	18	0.66	3
0	18	0.67	3
0	18	0.68	5
0	18	0.69	3
0	18	0.7	2
0	18	0.71	1
0	18	0.72	4
0	18	0.73	3
0	18	0.74	3
0	18	0.75	4
0	18	0.76	1
0	18	0.77	2
0	18	0.78	1
0	18	0.79	2
0	18	0.8	4
0	18	0.81	6
0	18	0.82	3
0	18	0.83	1
0	18	0.84	1
0	18	0.85	3
0	18	0.86	3
0	18	0.87	3
0	18	0.88	1
0	18	0.9	4
0	18	0.91	1
0	18	0.92	2
0	18	0.93	3
0	18	0.94	4
0	18	0.95	1
0	18	0.96	2
0	18	0.97	1
0	18	0.98	3
0	18	0.99	2
0	19	0.01	2
0	19	0.02	1
0	19	0.04	2
0	19	0.05	3
0	19	0.06	1
0	19	0.08	1
0	19	0.1	1
0	19	0.11	1
0	19	0.12	2
0	19	0.13	1
0	19	0.15	2
0	19	0.16	3
0	19	0.17	4
0	19	0.18	2
0	19	0.19	1
0	19	0.2	1
0	19	0.21	1
0	19	0.22	1
0	19	0.23	3
0	19	0.24	1
0	19	0.25	4
0	19	0.26	2
0	19	0.27	3
0	19	0.29	1
0	19	0.3	2
0	19	0.31	1
0	19	0.33	3
0	19	0.35	5
0	19	0.37	1
0	19	0.38	4
0	19	0.4	3
0	19	0.41	1
0	19	0.42	3
0	19	0.43	1
0	19	0.44	5
0	19	0.45	2
0	19	0.46	3
0	19	0.48	2
0	19	0.49	4
0	19	0.5	1
0	19	0.51	2
0	19	0.52	4
0	19	0.53	3
0	19	0.54	4
0	19	0.55	2
0	19	0.56	2
0	19	0.57	4
0	19	0.58	2
