NumAnc	NumDer	AFRDerFreq	EURDerFreq	Counts
26	0	0.69	0.6	1
48	0	0.54	0.75	1
56	2	0.75	0.99	1
39	0	0.29	0.36	1
36	0	0.5	0.58	1
36	0	0.41	0.41	1
39	0	0.07	0.09	1
39	1	0.75	0.98	1
1	30	0.04	0.38	1
1	41	0.85	0.84	1
0	33	0.01	0.15	1
46	0	0.04	0.04	1
0	45	0.77	0.6	1
53	0	0.39	0.94	1
48	2	0.33	0.2	1
40	0	0.29	0.38	1
49	0	0.05	0.18	1
36	0	0.27	0.51	1
34	0	0.02	0.12	1
38	0	0.11	0.1	1
25	0	0.24	0.41	1
46	0	0.05	0.13	1
53	1	0.19	0.66	1
1	38	0.75	0.7	1
0	63	0.71	0.3	1
38	0	0.49	0.56	1
36	0	0.55	0.48	1
0	37	0.02	0.11	1
49	0	0.02	0.13	1
49	0	0.35	0.57	1
47	1	0.3	0.58	1
33	0	0.05	0.06	1
63	0	0.11	0.02	1
35	0	0.13	0.12	1
64	2	0.8	0.88	1
61	0	0.07	0.35	1
36	0	0.01	0.1	1
45	1	0.01	0.17	1
0	46	0.04	0.06	1
41	0	0.12	0.01	1
37	0	0.27	0.07	1
33	0	0.14	0.09	1
48	0	0.33	0.46	1
2	46	0.02	0.02	1
59	1	0.14	0.77	1
22	0	0.43	0.35	1
33	1	0.05	0.11	1
55	1	0.28	0.36	1
58	0	0.51	0.74	1
43	0	0.23	0.35	1
52	0	0.07	0.06	2
48	0	0.01	0.16	1
51	0	0.25	0.38	1
40	1	0.05	0.37	1
54	0	0.11	0.02	1
47	1	0.57	0.56	1
0	37	0.55	0.81	1
6	45	0.14	0.02	1
48	0	0.41	0.59	1
60	2	0.43	0.41	1
41	0	0.9	0.76	1
0	45	0.77	0.72	1
0	48	0.83	0.94	1
46	0	0.27	0.18	1
47	0	0.11	0.2	1
39	0	0.45	0.51	1
41	0	0.84	0.76	1
63	0	0.01	0.09	1
54	0	0.86	0.67	1
34	0	0.15	0.11	1
0	42	0.81	0.96	1
57	0	0.07	0.04	2
48	0	0.01	0.06	1
82	0	0.16	0.13	1
51	0	0.26	0.26	1
42	0	0.01	0.2	1
37	0	0.07	0.39	1
42	1	0.12	0.29	1
42	0	0.08	0.45	1
48	0	0.04	0.31	1
44	1	0.5	0.63	1
43	1	0.09	0.05	1
30	0	0.25	0.55	1
53	0	0.01	0.05	1
0	41	0.85	0.99	2
46	3	0.2	0.16	1
40	0	0.17	0.19	1
42	0	0.21	0.15	1
51	0	0.21	0.13	1
